===============================================================================
Id,NIFTYBEES,len,datetime,open,high,low,close,volume,openinterest,Backtest,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
38,NIFTYBEES,38,2013-02-21 23:59:59.999989,601.0,601.0,591.1,593.04,70738.0,591.1,Backtest,38,734920.9999999999,Broker,38,100000.0,100000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,NIFTYBEES,39,2013-02-22 23:59:59.999989,587.45,597.0,576.65,593.15,27479.0,576.65,Backtest,39,734921.9999999999,Broker,39,100000.0,100000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,NIFTYBEES,40,2013-02-25 23:59:59.999989,609.79,609.79,589.01,593.46,24063.0,589.01,Backtest,40,734924.9999999999,Broker,40,100000.0,100000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,NIFTYBEES,41,2013-02-26 23:59:59.999989,595.0,595.0,581.36,583.31,89017.0,581.36,Backtest,41,734925.9999999999,Broker,41,100000.0,100000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,NIFTYBEES,42,2013-02-27 23:59:59.999989,584.0,592.05,583.0,589.5,36421.0,583.0,Backtest,42,734926.9999999999,Broker,42,100000.0,100000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,NIFTYBEES,43,2013-02-28 23:59:59.999989,591.0,594.77,578.0,581.0,66012.0,578.0,Backtest,43,734927.9999999999,Broker,43,100000.0,100000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,NIFTYBEES,44,2013-03-01 23:59:59.999989,581.0,582.02,574.0,575.83,113584.0,574.0,Backtest,44,734928.9999999999,Broker,44,100000.0,100000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,NIFTYBEES,45,2013-03-04 23:59:59.999989,570.45,578.75,570.0,578.08,40680.0,570.0,Backtest,45,734931.9999999999,Broker,45,100000.0,100000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,NIFTYBEES,46,2013-03-05 23:59:59.999989,579.0,588.0,579.0,586.25,29503.0,579.0,Backtest,46,734932.9999999999,Broker,46,100000.0,100000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,NIFTYBEES,47,2013-03-06 23:59:59.999989,587.0,591.0,587.0,589.61,17814.0,587.0,Backtest,47,734933.9999999999,Broker,47,100000.0,100000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,NIFTYBEES,48,2013-03-07 23:59:59.999989,589.95,595.4,588.0,594.39,65591.0,588.0,Backtest,48,734934.9999999999,Broker,48,100000.0,100000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,NIFTYBEES,49,2013-03-08 23:59:59.999989,593.0,601.0,592.0,599.78,66521.0,592.0,Backtest,49,734935.9999999999,Broker,49,99407.0,100006.78,BuySell,49,583.12,,Trades - Net Profit/Loss,49,,
50,NIFTYBEES,50,2013-03-11 23:59:59.999989,599.26,602.0,597.4,598.68,31014.0,597.4,Backtest,50,734938.9999999999,Broker,50,99407.0,100005.68,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,NIFTYBEES,51,2013-03-12 23:59:59.999989,599.0,600.3,593.5,597.53,43121.0,593.5,Backtest,51,734939.9999999999,Broker,51,99407.0,100004.53,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,NIFTYBEES,52,2013-03-13 23:59:59.999989,585.35,592.0,584.02,585.3,25538.0,584.02,Backtest,52,734940.9999999999,Broker,52,99407.0,99992.3,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,NIFTYBEES,53,2013-03-14 23:59:59.999989,585.0,591.99,580.27,589.55,82361.0,580.27,Backtest,53,734941.9999999999,Broker,53,99407.0,99996.55,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,NIFTYBEES,54,2013-03-15 23:59:59.999989,589.9,592.8,584.1,585.17,62218.0,584.1,Backtest,54,734942.9999999999,Broker,54,99407.0,99992.17,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,NIFTYBEES,55,2013-03-18 23:59:59.999989,582.9,582.99,578.35,580.97,48471.0,578.35,Backtest,55,734945.9999999999,Broker,55,99407.0,99987.97,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,NIFTYBEES,56,2013-03-19 23:59:59.999989,581.0,583.27,570.4,572.72,71340.0,570.4,Backtest,56,734946.9999999999,Broker,56,99407.0,99979.72,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,NIFTYBEES,57,2013-03-20 23:59:59.999989,572.1,573.75,569.0,570.31,60093.0,569.0,Backtest,57,734947.9999999999,Broker,57,99407.0,99977.31,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,NIFTYBEES,58,2013-03-21 23:59:59.999989,571.0,575.9,564.95,565.92,55940.0,564.95,Backtest,58,734948.9999999999,Broker,58,99407.0,99972.92,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,NIFTYBEES,59,2013-03-22 23:59:59.999989,566.0,569.72,564.0,566.12,38956.0,564.0,Backtest,59,734949.9999999999,Broker,59,99407.0,99973.12,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,NIFTYBEES,60,2013-03-25 23:59:59.999989,565.0,571.0,563.25,564.49,36612.0,563.25,Backtest,60,734952.9999999999,Broker,60,99407.0,99971.49,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,NIFTYBEES,61,2013-03-26 23:59:59.999989,564.0,565.38,562.0,563.65,47760.0,562.0,Backtest,61,734953.9999999999,Broker,61,99407.0,99970.65,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,NIFTYBEES,62,2013-03-28 23:59:59.999989,565.0,569.95,559.15,568.82,76379.0,559.15,Backtest,62,734955.9999999999,Broker,62,99407.0,99975.82,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,NIFTYBEES,63,2013-04-01 23:59:59.999989,569.0,573.4,568.0,571.65,25033.0,568.0,Backtest,63,734959.9999999999,Broker,63,99407.0,99978.65,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,NIFTYBEES,64,2013-04-02 23:59:59.999989,570.0,575.6,568.13,574.45,34517.0,568.13,Backtest,64,734960.9999999999,Broker,64,99407.0,99981.45,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,NIFTYBEES,65,2013-04-03 23:59:59.999989,574.0,576.0,566.44,568.87,40000.0,566.44,Backtest,65,734961.9999999999,Broker,65,99407.0,99975.87,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,NIFTYBEES,66,2013-04-04 23:59:59.999989,567.0,567.0,552.05,563.57,43123.0,552.05,Backtest,66,734962.9999999999,Broker,66,99407.0,99970.57,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,NIFTYBEES,67,2013-04-05 23:59:59.999989,564.0,564.0,554.05,555.85,63628.0,554.05,Backtest,67,734963.9999999999,Broker,67,99407.0,99962.85,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,NIFTYBEES,68,2013-04-08 23:59:59.999989,550.1,560.0,545.1,558.29,58466.0,545.1,Backtest,68,734966.9999999999,Broker,68,99407.0,99965.29,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,NIFTYBEES,69,2013-04-09 23:59:59.999989,559.0,562.0,553.0,554.34,32021.0,553.0,Backtest,69,734967.9999999999,Broker,69,99407.0,99961.34,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,NIFTYBEES,70,2013-04-10 23:59:59.999989,555.0,563.0,553.0,561.22,34874.0,553.0,Backtest,70,734968.9999999999,Broker,70,99407.0,99968.22,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,NIFTYBEES,71,2013-04-11 23:59:59.999989,563.0,565.0,555.0,559.38,40662.0,555.0,Backtest,71,734969.9999999999,Broker,71,99407.0,99966.38,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,NIFTYBEES,72,2013-04-12 23:59:59.999989,553.0,559.0,553.0,555.96,36436.0,553.0,Backtest,72,734970.9999999999,Broker,72,99407.0,99962.96,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,NIFTYBEES,73,2013-04-15 23:59:59.999989,554.0,559.6,545.0,557.7,55711.0,545.0,Backtest,73,734973.9999999999,Broker,73,99407.0,99964.7,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,NIFTYBEES,74,2013-04-16 23:59:59.999989,558.1,570.89,557.1,568.69,53086.0,557.1,Backtest,74,734974.9999999999,Broker,74,99407.0,99975.69,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,NIFTYBEES,75,2013-04-17 23:59:59.999989,569.0,571.9,566.0,567.55,32145.0,566.0,Backtest,75,734975.9999999999,Broker,75,99407.0,99974.55,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,NIFTYBEES,76,2013-04-18 23:59:59.999989,568.0,577.72,567.0,575.87,89988.0,567.0,Backtest,76,734976.9999999999,Broker,76,99407.0,99982.87,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,NIFTYBEES,77,2013-04-22 23:59:59.999989,576.0,583.73,576.0,582.25,59522.0,576.0,Backtest,77,734980.9999999999,Broker,77,99407.0,99989.25,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,NIFTYBEES,78,2013-04-23 23:59:59.999989,583.0,583.0,578.45,581.78,28778.0,578.45,Backtest,78,734981.9999999999,Broker,78,99407.0,99988.78,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,NIFTYBEES,79,2013-04-25 23:59:59.999989,583.01,589.48,582.1,587.7,61252.0,582.1,Backtest,79,734983.9999999999,Broker,79,99407.0,99994.7,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,NIFTYBEES,80,2013-04-26 23:59:59.999989,587.0,589.9,583.02,585.33,59395.0,583.02,Backtest,80,734984.9999999999,Broker,80,99407.0,99992.33,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,NIFTYBEES,81,2013-04-29 23:59:59.999989,585.0,589.8,585.0,587.84,40049.0,585.0,Backtest,81,734987.9999999999,Broker,81,99407.0,99994.84,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,NIFTYBEES,82,2013-04-30 23:59:59.999989,590.0,593.0,583.51,589.58,80802.0,583.51,Backtest,82,734988.9999999999,Broker,82,99407.0,99996.58,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,NIFTYBEES,83,2013-05-02 23:59:59.999989,585.1,598.98,585.1,597.46,118460.0,585.1,Backtest,83,734990.9999999999,Broker,83,99407.0,100004.46,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,NIFTYBEES,84,2013-05-03 23:59:59.999989,599.0,599.0,590.51,591.68,78501.0,590.51,Backtest,84,734991.9999999999,Broker,84,99407.0,99998.68,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,NIFTYBEES,85,2013-05-06 23:59:59.999989,591.68,595.0,590.0,594.26,32222.0,590.0,Backtest,85,734994.9999999999,Broker,85,99407.0,100001.26,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,NIFTYBEES,86,2013-05-07 23:59:59.999989,594.01,602.25,594.01,601.54,68804.0,594.01,Backtest,86,734995.9999999999,Broker,86,99407.0,100008.54,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,NIFTYBEES,87,2013-05-08 23:59:59.999989,602.0,606.0,599.87,604.23,55167.0,599.87,Backtest,87,734996.9999999999,Broker,87,99407.0,100011.23,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,NIFTYBEES,88,2013-05-09 23:59:59.999989,605.0,605.25,600.75,601.44,94137.0,600.75,Backtest,88,734997.9999999999,Broker,88,99407.0,100008.44,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,NIFTYBEES,89,2013-05-10 23:59:59.999989,604.0,607.6,601.01,606.57,53522.0,601.01,Backtest,89,734998.9999999999,Broker,89,99407.0,100013.57,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,NIFTYBEES,90,2013-05-11 23:59:59.999989,606.0,608.9,605.0,607.82,3714.0,605.0,Backtest,90,734999.9999999999,Broker,90,99407.0,100014.82,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,NIFTYBEES,91,2013-05-13 23:59:59.999989,607.0,607.0,595.05,596.25,59857.0,595.05,Backtest,91,735001.9999999999,Broker,91,99407.0,100003.25,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,NIFTYBEES,92,2013-05-14 23:59:59.999989,597.0,600.01,595.0,597.8,32624.0,595.0,Backtest,92,735002.9999999999,Broker,92,99407.0,100004.8,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,NIFTYBEES,93,2013-05-15 23:59:59.999989,599.0,614.0,599.0,613.14,115095.0,599.0,Backtest,93,735003.9999999999,Broker,93,99407.0,100020.14,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,NIFTYBEES,94,2013-05-16 23:59:59.999989,613.0,616.9,609.99,614.2,39993.0,609.99,Backtest,94,735004.9999999999,Broker,94,99407.0,100021.2,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,NIFTYBEES,95,2013-05-17 23:59:59.999989,614.97,617.0,612.11,615.84,34567.0,612.11,Backtest,95,735005.9999999999,Broker,95,99407.0,100022.84,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,NIFTYBEES,96,2013-05-20 23:59:59.999989,615.0,619.81,612.5,613.21,89157.0,612.5,Backtest,96,735008.9999999999,Broker,96,99407.0,100020.21,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,NIFTYBEES,97,2013-05-21 23:59:59.999989,613.01,615.2,607.88,608.66,46596.0,607.88,Backtest,97,735009.9999999999,Broker,97,99407.0,100015.66,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,NIFTYBEES,98,2013-05-22 23:59:59.999989,609.01,612.39,605.21,607.63,20377.0,605.21,Backtest,98,735010.9999999999,Broker,98,99407.0,100014.63,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,NIFTYBEES,99,2013-05-23 23:59:59.999989,606.0,606.0,594.0,595.45,126965.0,594.0,Backtest,99,735011.9999999999,Broker,99,99407.0,100002.45,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,NIFTYBEES,100,2013-05-24 23:59:59.999989,596.0,599.94,592.98,597.97,38597.0,592.98,Backtest,100,735012.9999999999,Broker,100,99407.0,100004.97,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,NIFTYBEES,101,2013-05-27 23:59:59.999989,598.0,608.99,596.5,606.22,32730.0,596.5,Backtest,101,735015.9999999999,Broker,101,99407.0,100013.22,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,NIFTYBEES,102,2013-05-28 23:59:59.999989,606.98,611.0,604.01,609.56,34704.0,604.01,Backtest,102,735016.9999999999,Broker,102,99407.0,100016.56,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,NIFTYBEES,103,2013-05-29 23:59:59.999989,610.0,610.0,605.6,607.86,25613.0,605.6,Backtest,103,735017.9999999999,Broker,103,99407.0,100014.86,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,NIFTYBEES,104,2013-05-30 23:59:59.999989,606.99,612.27,606.7,610.77,24963.0,606.7,Backtest,104,735018.9999999999,Broker,104,99407.0,100017.77,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,NIFTYBEES,105,2013-05-31 23:59:59.999989,609.0,609.88,600.0,601.73,36177.0,600.0,Backtest,105,735019.9999999999,Broker,105,99407.0,100008.73,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,NIFTYBEES,106,2013-06-03 23:59:59.999989,591.0,604.47,591.0,596.74,40391.0,591.0,Backtest,106,735022.9999999999,Broker,106,99407.0,100003.74,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,NIFTYBEES,107,2013-06-04 23:59:59.999989,597.0,602.5,593.76,594.58,26547.0,593.76,Backtest,107,735023.9999999999,Broker,107,99407.0,100001.58,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,NIFTYBEES,108,2013-06-05 23:59:59.999989,594.01,596.0,591.0,594.61,24294.0,591.0,Backtest,108,735024.9999999999,Broker,108,99407.0,100001.61,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,NIFTYBEES,109,2013-06-06 23:59:59.999989,593.0,598.88,589.55,595.49,35462.0,589.55,Backtest,109,735025.9999999999,Broker,109,99407.0,100002.49,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,NIFTYBEES,110,2013-06-07 23:59:59.999989,585.6,599.77,477.5,591.36,44978.0,477.5,Backtest,110,735026.9999999999,Broker,110,99407.0,99998.36,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,NIFTYBEES,111,2013-06-10 23:59:59.999989,593.01,595.77,588.3,590.59,42210.0,588.3,Backtest,111,735029.9999999999,Broker,111,99407.0,99997.59,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,NIFTYBEES,112,2013-06-11 23:59:59.999989,590.0,591.77,581.3,582.79,53907.0,581.3,Backtest,112,735030.9999999999,Broker,112,99407.0,99989.79,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,NIFTYBEES,113,2013-06-12 23:59:59.999989,582.5,587.0,576.5,580.62,60293.0,576.5,Backtest,113,735031.9999999999,Broker,113,99407.0,99987.62,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,NIFTYBEES,114,2013-06-13 23:59:59.999989,576.55,580.0,550.5,575.18,48468.0,550.5,Backtest,114,735032.9999999999,Broker,114,99407.0,99982.18,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,NIFTYBEES,115,2013-06-14 23:59:59.999989,579.8,585.0,577.16,584.29,38616.0,577.16,Backtest,115,735033.9999999999,Broker,115,99407.0,99991.29,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,NIFTYBEES,116,2013-06-17 23:59:59.999989,584.0,591.9,581.0,589.14,55202.0,581.0,Backtest,116,735036.9999999999,Broker,116,99407.0,99996.14,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,NIFTYBEES,117,2013-06-18 23:59:59.999989,588.0,592.9,584.0,586.87,40449.0,584.0,Backtest,117,735037.9999999999,Broker,117,99407.0,99993.87,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,NIFTYBEES,118,2013-06-19 23:59:59.999989,587.0,589.0,583.5,585.67,26351.0,583.5,Backtest,118,735038.9999999999,Broker,118,99407.0,99992.67,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,NIFTYBEES,119,2013-06-20 23:59:59.999989,582.0,582.0,569.22,571.83,122183.0,569.22,Backtest,119,735039.9999999999,Broker,119,99407.0,99978.83,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,NIFTYBEES,120,2013-06-21 23:59:59.999989,569.85,574.0,567.02,571.08,40578.0,567.02,Backtest,120,735040.9999999999,Broker,120,99407.0,99978.08,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,NIFTYBEES,121,2013-06-24 23:59:59.999989,567.0,571.0,563.02,565.19,54964.0,563.02,Backtest,121,735043.9999999999,Broker,121,99407.0,99972.19,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,NIFTYBEES,122,2013-06-25 23:59:59.999989,566.0,571.8,561.0,568.53,84971.0,561.0,Backtest,122,735044.9999999999,Broker,122,99407.0,99975.53,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,NIFTYBEES,123,2013-06-26 23:59:59.999989,560.1,569.4,560.1,563.0,46395.0,560.1,Backtest,123,735045.9999999999,Broker,123,99407.0,99970.0,BuySell,123,,,Trades - Net Profit/Loss,123,,
